id,Age,Gender,IQ,Eyes
sub4337,18.77,M,107,closed
sub4344,19.78,F,120,open
sub6195,20.3,M,107,open
sub6188,20.56,M,113,open
sub4338,20.92,M,119,open
sub6186,21.15,M,120,open
sub6208,23.08,M,122,open
sub6215,23.217,F,109,open
sub4373,24.82,F,86,open
sub6216,26.286,F,108,open
sub6180,26.62,M,102,open
sub6125,35.33,M,118,open
sub6152,35.73,M,114,open
sub4307,38.84,F,123,closed
sub6207,39.23,F,108,open
sub4425,39.99,M,104,closed
sub6192,42.94,M,92,open
sub4372,43.58,F,120,open
sub4361,45.83,M,112,closed
sub6123,45.95,M,105,open
sub4322,46.25,F,125,closed
sub4502,46.84,M,102,open
sub4419,47.61,F,96,open
sub4453,20.16,M,106,open
sub6190,20.161,M,120,open
sub6103,21.26,F,123,open
sub6153,21.48,F,99,open
sub6106,21.58,F,113,open
sub6109,21.59,F,118,open
sub6104,22.11,F,112,open
sub6129,22.74,F,118,open
sub6107,22.76,F,113,open
sub6199,22.95,F,90,open
sub6210,26.17,M,114,open
sub4376,26.42,F,105,closed
sub6117b,26.66,F,91,open
sub6134,27.03,F,109,open
sub4455,27.07,F,113,closed
sub4294,27.27,F,91,closed
sub6148,27.89,F,88,open
sub4576,29.02,M,122,open
sub6154,30.08,M,104,open
sub6151,30.78,M,104,open
sub4303,32.26,M,93,open
sub6198,32.57,M,113,open
sub6144,33.22,F,106,open
sub6140,33.45,M,109,open
sub6135,33.52,F,104,open
sub4326,40.09,M,107,open
sub6124,40.63,M,129,open
sub6193,40.91,M,86,open
sub4319,45.85,M,121,closed
sub4476,48,M,118,closed
